#Accession	ID	Description	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
PF14183	YwpF	"YwpF-like protein"	1	0.01	78.70	0.01	7.86	0.01	0.06	0.00	70.54	0.01	0.25	0.00
PF01924	HypD	"Hydrogenase formation hypA family"	1	0.01	72.42	0.00	0.01	0.00	0.04	0.00	72.35	0.01	0.02	0.00
PF15643	Tox-PL-2	"Papain fold toxin 2"	1	0.01	72.73	0.00	0.00	0.00	0.02	0.00	72.68	0.01	0.03	0.00
PF09982	DUF2219	"Uncharacterized protein conserved in bacteria (DUF2219)"	2	0.02	73.09	0.00	0.27	0.00	0.14	0.00	72.49	0.01	0.18	0.00
PF03462	PCRF	"PCRF domain"	10	0.10	2270.59	0.15	338.97	0.26	597.38	0.28	436.77	0.05	897.48	0.30
PF16320	Ribosomal_L12_N	"Ribosomal protein L7/L12 dimerisation domain"	1	0.01	72.80	0.00	0.00	0.00	0.01	0.00	72.76	0.01	0.02	0.00
PF03707	MHYT	"Bacterial signalling protein N terminal repeat"	1	0.01	61.65	0.00	0.00	0.00	0.14	0.00	61.46	0.01	0.04	0.00
PF03682	UPF0158	"Uncharacterised protein family (UPF0158)"	1	0.01	24.70	0.00	0.10	0.00	0.07	0.00	24.44	0.00	0.09	0.00
PF14595	Thioredoxin_9	"Thioredoxin"	1	0.01	13.15	0.00	0.00	0.00	0.02	0.00	11.75	0.00	1.38	0.00
PF16657	Malt_amylase_C	"Maltogenic Amylase, C-terminal domain"	2	0.02	115.96	0.01	1.19	0.00	0.06	0.00	114.42	0.01	0.29	0.00
PF11723	Aromatic_hydrox	"Homotrimeric ring hydroxylase"	1	0.01	29.16	0.00	0.03	0.00	3.61	0.00	24.78	0.00	0.76	0.00
PF01724	DUF29	"Domain of unknown function DUF29"	4	0.04	3661.07	0.23	581.36	0.45	1151.09	0.53	177.34	0.02	1751.28	0.58
PF02518	HATPase_c	"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"	103	0.99	9921.60	0.63	731.42	0.57	1336.76	0.62	6015.00	0.66	1838.42	0.61
PF01668	SmpB	"SmpB protein"	2	0.02	54.73	0.00	0.14	0.00	3.74	0.00	49.97	0.01	0.89	0.00
PF03445	DUF294	"Putative nucleotidyltransferase DUF294"	4	0.04	590.24	0.04	16.16	0.01	92.54	0.04	435.91	0.05	45.63	0.02
PF02817	E3_binding	"e3 binding domain"	10	0.10	381.85	0.02	24.54	0.02	1.70	0.00	350.25	0.04	5.35	0.00
PF03099	BPL_LplA_LipB	"Biotin/lipoate A/B protein ligase family"	10	0.10	2258.00	0.14	322.45	0.25	581.59	0.27	494.39	0.05	859.56	0.28
PF06490	FleQ	"Flagellar regulatory protein FleQ"	1	0.01	13.57	0.00	0.23	0.00	0.01	0.00	13.23	0.00	0.10	0.00
PF05199	GMC_oxred_C	"GMC oxidoreductase"	2	0.02	220.46	0.01	0.03	0.00	4.01	0.00	215.33	0.02	1.09	0.00
PF10091	Glycoamylase	"Putative glucoamylase"	1	0.01	59.41	0.00	0.00	0.00	0.12	0.00	59.27	0.01	0.02	0.00
PF11306	DUF3108	"Protein of unknown function (DUF3108)"	2	0.02	79.88	0.01	0.00	0.00	0.17	0.00	78.28	0.01	1.42	0.00
PF07721	TPR_4	"Tetratricopeptide repeat"	3	0.03	344.38	0.02	0.01	0.00	0.73	0.00	343.15	0.04	0.49	0.00
PF04257	Exonuc_V_gamma	"Exodeoxyribonuclease V, gamma subunit "	3	0.03	193.27	0.01	8.31	0.01	0.65	0.00	183.57	0.02	0.75	0.00
PF01726	LexA_DNA_bind	"LexA DNA binding domain"	8	0.08	325.81	0.02	12.03	0.01	3.70	0.00	308.50	0.03	1.57	0.00
PF11715	Nup160	"Nucleoporin Nup120/160"	1	0.01	70.45	0.00	0.00	0.00	0.03	0.00	70.38	0.01	0.04	0.00
PF04248	NTP_transf_9	"Domain of unknown function (DUF427)"	3	0.03	295.92	0.02	0.13	0.00	0.51	0.00	294.81	0.03	0.47	0.00
PF00772	DnaB	"DnaB-like helicase N terminal domain"	4	0.04	158.28	0.01	8.44	0.01	0.30	0.00	148.93	0.02	0.61	0.00
PF05598	DUF772	"Transposase domain (DUF772)"	1	0.01	25.47	0.00	0.12	0.00	0.14	0.00	25.10	0.00	0.12	0.00
PF08218	Citrate_ly_lig	"Citrate lyase ligase C-terminal domain"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
PF10958	DUF2759	"Protein of unknown function (DUF2759)"	1	0.01	86.60	0.01	8.13	0.01	0.05	0.00	78.17	0.01	0.24	0.00
PF14905	OMP_b-brl_3	"Outer membrane protein beta-barrel family"	4	0.04	93.45	0.01	10.96	0.01	1.44	0.00	76.46	0.01	4.59	0.00
PF03264	Cytochrom_NNT	"NapC/NirT cytochrome c family, N-terminal region"	1	0.01	37.25	0.00	0.78	0.00	0.04	0.00	36.21	0.00	0.22	0.00
PF00801	PKD	"PKD domain"	4	0.04	112.47	0.01	0.02	0.00	0.13	0.00	112.29	0.01	0.04	0.00
PF03968	OstA	"OstA-like protein"	2	0.02	53.25	0.00	0.26	0.00	0.00	0.00	52.93	0.01	0.07	0.00
PF04608	PgpA	"Phosphatidylglycerophosphatase A"	1	0.01	216.75	0.01	0.12	0.00	0.65	0.00	215.33	0.02	0.66	0.00
PF07559	FlaE	"Flagellar basal body protein FlaE"	1	0.01	23.81	0.00	0.00	0.00	0.00	0.00	23.81	0.00	0.00	0.00
PF05975	EcsB	"Bacterial ABC transporter protein EcsB"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
PF13183	Fer4_8	"4Fe-4S dicluster domain"	14	0.13	831.25	0.05	14.50	0.01	22.82	0.01	784.21	0.09	9.72	0.00
PF00361	Proton_antipo_M	"Proton-conducting membrane transporter"	24	0.23	2651.29	0.17	3.58	0.00	15.17	0.01	2618.70	0.29	13.84	0.00
PF11303	DUF3105	"Protein of unknown function (DUF3105)"	2	0.02	45.08	0.00	0.26	0.00	0.17	0.00	44.54	0.00	0.11	0.00
PF07714	Pkinase_Tyr	"Protein tyrosine kinase"	19	0.18	1100.08	0.07	3.27	0.00	1.68	0.00	1093.84	0.12	1.29	0.00
PF00246	Peptidase_M14	"Zinc carboxypeptidase"	12	0.12	261.15	0.02	0.58	0.00	0.71	0.00	249.29	0.03	10.57	0.00
PF04955	HupE_UreJ	"HupE / UreJ protein"	1	0.01	195.59	0.01	0.01	0.00	0.42	0.00	194.83	0.02	0.33	0.00
PF09424	YqeY	"Yqey-like protein"	2	0.02	37.00	0.00	7.47	0.01	0.12	0.00	27.78	0.00	1.62	0.00
PF09383	NIL	"NIL domain"	4	0.04	153.29	0.01	2.27	0.00	0.02	0.00	150.92	0.02	0.08	0.00
PF18075	FtsX_ECD	"FtsX extracellular domain"	4	0.04	159.96	0.01	2.59	0.00	0.15	0.00	155.73	0.02	1.49	0.00
PF16389	DUF4998	"Domain of unknown function"	1	0.01	17.44	0.00	0.00	0.00	0.01	0.00	17.42	0.00	0.01	0.00
PF13547	GTA_TIM	"GTA TIM-barrel-like domain"	2	0.02	280.91	0.02	0.89	0.00	1.46	0.00	276.73	0.03	1.83	0.00
PF05494	MlaC	"MlaC protein"	1	0.01	13.15	0.00	0.26	0.00	0.00	0.00	12.83	0.00	0.06	0.00
PF03237	Terminase_6	"Terminase-like family"	1	0.01	216.75	0.01	0.12	0.00	0.65	0.00	215.33	0.02	0.66	0.00
PF03963	FlgD	"Flagellar hook capping protein - N-terminal region"	1	0.01	23.81	0.00	0.00	0.00	0.00	0.00	23.81	0.00	0.00	0.00
PF00190	Cupin_1	"Cupin"	3	0.03	93.02	0.01	2.37	0.00	0.30	0.00	88.78	0.01	1.57	0.00
PF00254	FKBP_C	"FKBP-type peptidyl-prolyl cis-trans isomerase"	6	0.06	347.30	0.02	3.25	0.00	0.36	0.00	343.26	0.04	0.43	0.00
PF01641	SelR	"SelR domain"	4	0.04	201.23	0.01	10.53	0.01	16.67	0.01	171.43	0.02	2.60	0.00
PF01112	Asparaginase_2	"Asparaginase"	1	0.01	13.71	0.00	0.00	0.00	0.01	0.00	12.23	0.00	1.46	0.00
PF05854	MC1	"Non-histone chromosomal protein MC1"	1	0.01	9.65	0.00	0.00	0.00	0.00	0.00	9.65	0.00	0.00	0.00
PF13519	VWA_2	"von Willebrand factor type A domain"	6	0.06	198.98	0.01	8.40	0.01	0.47	0.00	185.04	0.02	5.07	0.00
PF03473	MOSC	"MOSC domain"	1	0.01	38.98	0.00	0.00	0.00	0.00	0.00	38.97	0.00	0.01	0.00
PF10412	TrwB_AAD_bind	"Type IV secretion-system coupling protein DNA-binding domain"	4	0.04	128.97	0.01	7.47	0.01	0.14	0.00	121.10	0.01	0.26	0.00
PF13102	Phage_int_SAM_5	"Phage integrase SAM-like domain"	3	0.03	315.88	0.02	10.23	0.01	0.46	0.00	304.55	0.03	0.64	0.00
PF00886	Ribosomal_S16	"Ribosomal protein S16"	4	0.04	174.86	0.01	0.05	0.00	4.01	0.00	168.64	0.02	2.17	0.00
PF02811	PHP	"PHP domain"	19	0.18	972.48	0.06	55.71	0.04	18.11	0.01	889.19	0.10	9.46	0.00
PF06897	DUF1269	"Protein of unknown function (DUF1269)"	1	0.01	91.39	0.01	0.33	0.00	0.61	0.00	90.02	0.01	0.43	0.00
PF13632	Glyco_trans_2_3	"Glycosyl transferase family group 2"	15	0.14	897.94	0.06	3.38	0.00	23.12	0.01	864.49	0.09	6.95	0.00
PF02600	DsbB	"Disulfide bond formation protein DsbB"	3	0.03	277.74	0.02	0.12	0.00	0.70	0.00	276.37	0.03	0.55	0.00
PF17651	Raco_middle	"RACo middle region"	1	0.01	216.75	0.01	0.12	0.00	0.65	0.00	215.33	0.02	0.66	0.00
PF00730	HhH-GPD	"HhH-GPD superfamily base excision DNA repair protein"	6	0.06	2204.91	0.14	325.59	0.25	589.72	0.27	397.27	0.04	892.32	0.29
PF12837	Fer4_6	"4Fe-4S binding domain"	14	0.13	3213.34	0.21	336.89	0.26	621.84	0.29	1354.14	0.15	900.48	0.30
PF05389	MecA	"Negative regulator of genetic competence (MecA)"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
PF02086	MethyltransfD12	"D12 class N6 adenine-specific DNA methyltransferase"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
PF17932	TetR_C_24	"Tetracyclin repressor-like, C-terminal domain"	4	0.04	250.50	0.02	8.22	0.01	4.26	0.00	236.25	0.03	1.77	0.00
PF04237	YjbR	"YjbR"	1	0.01	13.34	0.00	0.21	0.00	0.03	0.00	13.00	0.00	0.10	0.00
PF14659	Phage_int_SAM_3	"Phage integrase, N-terminal SAM-like domain"	1	0.01	24.70	0.00	0.10	0.00	0.07	0.00	24.44	0.00	0.09	0.00
PF06863	DUF1254	"Protein of unknown function (DUF1254)"	1	0.01	13.34	0.00	0.21	0.00	0.03	0.00	13.00	0.00	0.10	0.00
PF01927	Mut7-C	"Mut7-C RNAse domain"	1	0.01	25.47	0.00	0.12	0.00	0.14	0.00	25.10	0.00	0.12	0.00
PF00924	MS_channel	"Mechanosensitive ion channel"	15	0.14	2357.10	0.15	322.17	0.25	570.91	0.27	603.09	0.07	860.93	0.28
PF01043	SecA_PP_bind	"SecA preprotein cross-linking domain"	4	0.04	311.60	0.02	2.73	0.00	0.65	0.00	306.29	0.03	1.93	0.00
PF02910	Succ_DH_flav_C	"Fumarate reductase flavoprotein C-term"	5	0.05	518.53	0.03	1.00	0.00	4.72	0.00	509.23	0.06	3.58	0.00
PF10555	MraY_sig1	"Phospho-N-acetylmuramoyl-pentapeptide-transferase signature 1"	3	0.03	91.11	0.01	3.53	0.00	0.06	0.00	87.24	0.01	0.28	0.00
PF15615	TerB_C	"TerB-C domain"	1	0.01	73.16	0.00	0.00	0.00	0.01	0.00	73.10	0.01	0.04	0.00
PF13975	gag-asp_proteas	"gag-polyprotein putative aspartyl protease"	4	0.04	346.49	0.02	0.24	0.00	16.80	0.01	326.78	0.04	2.66	0.00
PF02129	Peptidase_S15	"X-Pro dipeptidyl-peptidase (S15 family)"	10	0.10	2388.48	0.15	328.45	0.26	586.28	0.27	583.62	0.06	890.13	0.29
PF11833	CPP1-like	"Protein CHAPERONE-LIKE PROTEIN OF POR1-like"	1	0.01	72.38	0.00	0.00	0.00	0.02	0.00	72.33	0.01	0.03	0.00
PF13537	GATase_7	"Glutamine amidotransferase domain"	9	0.09	556.03	0.04	3.46	0.00	4.91	0.00	544.47	0.06	3.18	0.00
PF02896	PEP-utilizers_C	"PEP-utilising enzyme, TIM barrel domain"	9	0.09	634.67	0.04	3.32	0.00	4.61	0.00	623.27	0.07	3.47	0.00
PF00636	Ribonuclease_3	"Ribonuclease III domain"	2	0.02	129.85	0.01	0.03	0.00	0.09	0.00	129.65	0.01	0.08	0.00
PF00060	Lig_chan	"Ligand-gated ion channel"	1	0.01	72.42	0.00	0.01	0.00	0.04	0.00	72.35	0.01	0.02	0.00
PF08843	AbiEii	"Nucleotidyl transferase AbiEii toxin, Type IV TA system"	1	0.01	13.73	0.00	0.00	0.00	0.01	0.00	12.06	0.00	1.66	0.00
PF11199	DUF2891	"Protein of unknown function (DUF2891)"	1	0.01	58.58	0.00	0.03	0.00	0.11	0.00	58.38	0.01	0.06	0.00
PF13763	DUF4167	"Domain of unknown function (DUF4167)"	1	0.01	38.98	0.00	0.00	0.00	0.00	0.00	38.97	0.00	0.01	0.00
PF13710	ACT_5	"ACT domain"	2	0.02	102.04	0.01	0.32	0.00	0.58	0.00	100.65	0.01	0.49	0.00
PF00308	Bac_DnaA	"Bacterial dnaA  protein"	9	0.09	2180.37	0.14	303.87	0.24	588.58	0.27	386.39	0.04	901.53	0.30
PF00557	Peptidase_M24	"Metallopeptidase family M24"	15	0.14	1391.14	0.09	64.39	0.05	37.74	0.02	1248.46	0.14	40.55	0.01
PF10414	CysG_dimeriser	"Sirohaem synthase dimerisation region"	2	0.02	395.93	0.03	0.02	0.00	1.05	0.00	393.88	0.04	0.98	0.00
PF00931	NB-ARC	"NB-ARC domain"	2	0.02	93.25	0.01	14.43	0.01	20.49	0.01	41.53	0.00	16.80	0.01
PF04204	HTS	"Homoserine O-succinyltransferase"	1	0.01	191.30	0.01	0.01	0.00	0.40	0.00	190.55	0.02	0.34	0.00
PF00676	E1_dh	"Dehydrogenase E1 component"	14	0.13	832.24	0.05	35.96	0.03	41.06	0.02	692.57	0.08	62.66	0.02
PF01501	Glyco_transf_8	"Glycosyl transferase family 8"	1	0.01	49.69	0.00	2.47	0.00	0.00	0.00	47.19	0.01	0.04	0.00
PF04002	RadC	"RadC-like JAB domain"	4	0.04	108.09	0.01	2.49	0.00	3.61	0.00	99.61	0.01	2.37	0.00
PF03033	Glyco_transf_28	"Glycosyltransferase family 28 N-terminal domain"	5	0.05	318.36	0.02	10.77	0.01	3.95	0.00	302.06	0.03	1.58	0.00
PF00614	PLDc	"Phospholipase D Active site motif"	13	0.13	1076.37	0.07	13.05	0.01	1.96	0.00	1059.36	0.12	2.00	0.00
PF01966	HD	"HD domain"	23	0.22	1029.48	0.07	37.44	0.03	21.51	0.01	962.83	0.10	7.70	0.00
PF02646	RmuC	"RmuC family"	3	0.03	1849.93	0.12	290.71	0.23	603.81	0.28	54.72	0.01	900.69	0.30
PF12729	4HB_MCP_1	"Four helix bundle sensory module for signal transduction"	1	0.01	17.05	0.00	0.00	0.00	0.00	0.00	17.05	0.00	0.00	0.00
PF01475	FUR	"Ferric uptake regulator family"	9	0.09	2360.86	0.15	309.58	0.24	585.76	0.27	607.74	0.07	857.79	0.28
PF16582	TPP_enzyme_M_2	"Middle domain of thiamine pyrophosphate"	1	0.01	72.05	0.00	0.00	0.00	0.03	0.00	72.00	0.01	0.02	0.00
PF11387	DUF2795	"Protein of unknown function (DUF2795)"	1	0.01	28.95	0.00	9.91	0.01	1.36	0.00	14.98	0.00	2.70	0.00
PF00762	Ferrochelatase	"Ferrochelatase"	3	0.03	118.90	0.01	40.83	0.03	16.49	0.01	44.97	0.00	16.61	0.01
PF11219	DUF3014	"Protein of unknown function (DUF3014)"	1	0.01	13.76	0.00	0.27	0.00	0.03	0.00	13.32	0.00	0.15	0.00
PF12836	HHH_3	"Helix-hairpin-helix motif"	7	0.07	434.62	0.03	6.07	0.00	3.93	0.00	421.49	0.05	3.12	0.00
PF02698	DUF218	"DUF218 domain"	3	0.03	1823.83	0.12	298.41	0.23	564.01	0.26	108.30	0.01	853.11	0.28
PF15887	Peptidase_Mx	"Putative zinc-binding metallo-peptidase"	1	0.01	58.58	0.00	0.03	0.00	0.11	0.00	58.38	0.01	0.06	0.00
PF01554	MatE	"MatE"	13	0.13	2411.53	0.15	337.07	0.26	594.43	0.28	585.45	0.06	894.58	0.29
PF03447	NAD_binding_3	"Homoserine dehydrogenase, NAD binding domain"	4	0.04	157.11	0.01	17.11	0.01	2.56	0.00	132.60	0.01	4.84	0.00
PF00725	3HCDH	"3-hydroxyacyl-CoA dehydrogenase, C-terminal domain"	8	0.08	275.80	0.02	0.05	0.00	3.70	0.00	266.71	0.03	5.32	0.00
PF08545	ACP_syn_III	"3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III"	7	0.07	352.55	0.02	12.53	0.01	1.57	0.00	335.45	0.04	3.00	0.00
PF12476	DUF3696	"Protein of unknown function (DUF3696)"	2	0.02	143.57	0.01	0.00	0.00	0.02	0.00	143.51	0.02	0.04	0.00
PF00083	Sugar_tr	"Sugar (and other) transporter"	5	0.05	284.16	0.02	10.35	0.01	1.83	0.00	267.24	0.03	4.75	0.00
PF00962	A_deaminase	"Adenosine/AMP deaminase"	5	0.05	2011.05	0.13	326.46	0.25	585.39	0.27	209.62	0.02	889.58	0.29
PF13386	DsbD_2	"Cytochrome C biogenesis protein transmembrane region"	1	0.01	28.95	0.00	9.91	0.01	1.36	0.00	14.98	0.00	2.70	0.00
PF04972	BON	"BON domain"	3	0.03	240.09	0.02	0.27	0.00	0.47	0.00	238.87	0.03	0.48	0.00
PF13580	SIS_2	"SIS domain"	2	0.02	66.53	0.00	0.12	0.00	0.11	0.00	66.24	0.01	0.06	0.00
PF03070	TENA_THI-4	"TENA/THI-4/PQQC family"	3	0.03	293.23	0.02	0.12	0.00	0.58	0.00	292.07	0.03	0.45	0.00
PF12695	Abhydrolase_5	"Alpha/beta hydrolase family"	1	0.01	25.40	0.00	0.12	0.00	0.10	0.00	25.07	0.00	0.11	0.00
PF02879	PGM_PMM_II	"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II"	8	0.08	508.19	0.03	3.96	0.00	4.78	0.00	495.87	0.05	3.58	0.00
PF00225	Kinesin	"Kinesin motor domain"	1	0.01	15.40	0.00	0.00	0.00	0.00	0.00	15.40	0.00	0.00	0.00
PF03435	Sacchrp_dh_NADP	"Saccharopine dehydrogenase NADP binding domain"	6	0.06	418.53	0.03	26.28	0.02	5.10	0.00	385.06	0.04	2.10	0.00
PF06833	MdcE	"Malonate decarboxylase gamma subunit (MdcE)"	4	0.04	356.71	0.02	7.82	0.01	4.02	0.00	341.95	0.04	2.92	0.00
PF10996	Beta-Casp	"Beta-Casp domain"	1	0.01	13.57	0.00	0.23	0.00	0.01	0.00	13.23	0.00	0.10	0.00
PF02774	Semialdhyde_dhC	"Semialdehyde dehydrogenase, dimerisation domain"	9	0.09	1028.86	0.07	79.90	0.06	383.92	0.18	473.02	0.05	92.02	0.03
PF02104	SURF1	"SURF1 family"	2	0.02	272.03	0.02	0.05	0.00	0.60	0.00	270.89	0.03	0.49	0.00
PF01106	NifU	"NifU-like domain"	3	0.03	281.70	0.02	0.01	0.00	0.47	0.00	279.51	0.03	1.71	0.00
PF01786	AOX	"Alternative oxidase"	1	0.01	13.34	0.00	0.21	0.00	0.03	0.00	13.00	0.00	0.10	0.00
PF03352	Adenine_glyco	"Methyladenine glycosylase"	2	0.02	112.46	0.01	7.62	0.01	3.43	0.00	100.88	0.01	0.54	0.00
PF02613	Nitrate_red_del	"Nitrate reductase delta subunit"	1	0.01	217.06	0.01	0.01	0.00	0.47	0.00	216.16	0.02	0.42	0.00
PF12072	DUF3552	"Domain of unknown function (DUF3552)"	2	0.02	119.43	0.01	10.23	0.01	0.06	0.00	108.85	0.01	0.29	0.00
PF01881	Cas_Cas6	"CRISPR associated protein Cas6"	1	0.01	27.87	0.00	10.00	0.01	1.26	0.00	13.88	0.00	2.73	0.00
PF17162	DUF5118	"Domain of unknown function (DUF5118)"	3	0.03	69.29	0.00	1.18	0.00	0.09	0.00	64.78	0.01	3.23	0.00
PF00996	GDI	"GDP dissociation inhibitor"	1	0.01	92.95	0.01	0.00	0.00	0.04	0.00	92.89	0.01	0.02	0.00
PF04386	SspB	"Stringent starvation protein B"	3	0.03	229.05	0.01	0.31	0.00	3.62	0.00	223.96	0.02	1.16	0.00
PF07143	CrtC	"CrtC N-terminal lipocalin domain"	1	0.01	66.73	0.00	0.00	0.00	0.15	0.00	66.54	0.01	0.04	0.00
PF01138	RNase_PH	"3' exoribonuclease family, domain 1"	6	0.06	278.86	0.02	27.57	0.02	9.88	0.00	233.88	0.03	7.53	0.00
PF15985	KH_6	"KH domain"	1	0.01	14.84	0.00	0.00	0.00	0.00	0.00	14.84	0.00	0.00	0.00
PF02863	Arg_repressor_C	"Arginine repressor, C-terminal domain"	4	0.04	242.79	0.02	14.13	0.01	5.77	0.00	219.86	0.02	3.03	0.00
PF00633	HHH	"Helix-hairpin-helix motif"	18	0.17	2972.90	0.19	343.99	0.27	591.92	0.28	1138.93	0.12	898.06	0.30
PF04851	ResIII	"Type III restriction enzyme, res subunit"	37	0.36	5442.13	0.35	659.34	0.51	1181.22	0.55	1806.34	0.20	1795.23	0.59
PF16816	DotD	"DotD protein"	1	0.01	13.92	0.00	0.00	0.00	0.00	0.00	13.92	0.00	0.00	0.00
PF18085	Mak_N_cap	"Maltokinase N-terminal cap domain"	3	0.03	132.59	0.01	6.14	0.00	0.10	0.00	125.86	0.01	0.48	0.00
PF13336	AcetylCoA_hyd_C	"Acetyl-CoA hydrolase/transferase C-terminal domain"	3	0.03	102.95	0.01	2.64	0.00	0.04	0.00	100.08	0.01	0.19	0.00
PF02441	Flavoprotein	"Flavoprotein"	3	0.03	107.66	0.01	3.25	0.00	3.58	0.00	99.70	0.01	1.12	0.00
PF09296	NUDIX-like	"NADH pyrophosphatase-like rudimentary NUDIX domain"	1	0.01	29.33	0.00	0.02	0.00	3.64	0.00	24.90	0.00	0.78	0.00
PF01746	tRNA_m1G_MT	"tRNA (Guanine-1)-methyltransferase"	3	0.03	102.06	0.01	0.04	0.00	4.00	0.00	95.88	0.01	2.14	0.00
PF03743	TrbI	"Bacterial conjugation TrbI-like protein"	1	0.01	13.92	0.00	0.00	0.00	0.00	0.00	13.92	0.00	0.00	0.00
PF00781	DAGK_cat	"Diacylglycerol kinase catalytic domain"	4	0.04	180.48	0.01	7.47	0.01	3.74	0.00	168.68	0.02	0.59	0.00
PF08502	LeuA_dimer	"LeuA allosteric (dimerisation) domain"	2	0.02	50.94	0.00	0.23	0.00	0.28	0.00	50.20	0.01	0.23	0.00
PF18267	Rubredoxin_C	"Rubredoxin NAD+ reductase C-terminal domain"	1	0.01	204.63	0.01	0.01	0.00	0.65	0.00	203.32	0.02	0.64	0.00
PF00815	Histidinol_dh	"Histidinol dehydrogenase"	4	0.04	201.25	0.01	2.57	0.00	0.03	0.00	198.53	0.02	0.12	0.00
PF00999	Na_H_Exchanger	"Sodium/hydrogen exchanger family"	12	0.12	2628.98	0.17	335.78	0.26	587.75	0.27	812.10	0.09	893.35	0.29
PF13298	LigD_N	"DNA polymerase Ligase (LigD)"	1	0.01	41.89	0.00	1.18	0.00	0.06	0.00	40.37	0.00	0.28	0.00
PF05159	Capsule_synth	"Capsule polysaccharide biosynthesis protein"	2	0.02	382.60	0.02	0.01	0.00	0.81	0.00	381.11	0.04	0.68	0.00
PF04267	SoxD	"Sarcosine oxidase, delta subunit family"	2	0.02	220.46	0.01	0.03	0.00	4.01	0.00	215.33	0.02	1.09	0.00
PF13242	Hydrolase_like	"HAD-hyrolase-like"	17	0.16	1035.98	0.07	2.94	0.00	5.97	0.00	1023.04	0.11	4.02	0.00
PF12704	MacB_PCD	"MacB-like periplasmic core domain"	6	0.06	270.75	0.02	12.56	0.01	1.82	0.00	251.49	0.03	4.88	0.00
PF12895	ANAPC3	"Anaphase-promoting complex, cyclosome, subunit 3"	8	0.08	562.42	0.04	18.35	0.01	1.95	0.00	537.17	0.06	4.95	0.00
PF04314	PCuAC	"Copper chaperone PCu(A)C"	4	0.04	226.15	0.01	0.94	0.00	22.99	0.01	197.80	0.02	4.42	0.00
PF00149	Metallophos	"Calcineurin-like phosphoesterase"	36	0.35	5828.03	0.37	692.72	0.54	1180.26	0.55	2161.85	0.24	1793.19	0.59
PF00126	HTH_1	"Bacterial regulatory helix-turn-helix protein, lysR family"	19	0.18	1732.48	0.11	5.12	0.00	6.51	0.00	1717.67	0.19	3.18	0.00
PF01795	Methyltransf_5	"MraW methylase family"	5	0.05	310.57	0.02	11.01	0.01	0.59	0.00	298.16	0.03	0.82	0.00
PF00350	Dynamin_N	"Dynamin family"	14	0.13	809.31	0.05	26.69	0.02	23.69	0.01	748.75	0.08	10.17	0.00
PF11118	DUF2627	"Protein of unknown function (DUF2627)"	1	0.01	86.60	0.01	8.13	0.01	0.05	0.00	78.17	0.01	0.24	0.00
PF03749	SfsA	"Sugar fermentation stimulation protein RE domain"	2	0.02	1855.61	0.12	282.94	0.22	587.10	0.27	87.36	0.01	898.20	0.30
PF01738	DLH	"Dienelactone hydrolase family"	16	0.15	726.08	0.05	7.28	0.01	6.39	0.00	705.55	0.08	6.87	0.00
PF10040	CRISPR_Cas6	"CRISPR-associated endoribonuclease Cas6"	1	0.01	72.80	0.00	0.00	0.00	0.01	0.00	72.76	0.01	0.02	0.00
PF00562	RNA_pol_Rpb2_6	"RNA polymerase Rpb2, domain 6"	1	0.01	72.80	0.00	0.00	0.00	0.01	0.00	72.76	0.01	0.02	0.00
PF07045	DUF1330	"Domain of unknown function (DUF1330)"	1	0.01	27.05	0.00	0.01	0.00	3.50	0.00	22.65	0.00	0.88	0.00
PF14054	DUF4249	"Domain of unknown function (DUF4249)"	3	0.03	86.84	0.01	29.74	0.02	4.07	0.00	44.94	0.00	8.09	0.00
PF00520	Ion_trans	"Ion transport protein"	5	0.05	232.73	0.01	18.32	0.01	0.28	0.00	213.55	0.02	0.58	0.00
PF04151	PPC	"Bacterial pre-peptidase C-terminal domain"	1	0.01	61.65	0.00	0.00	0.00	0.14	0.00	61.46	0.01	0.04	0.00
PF17782	DprA_WH	"DprA winged helix domain"	4	0.04	2116.63	0.14	325.56	0.25	585.67	0.27	314.21	0.03	891.18	0.29
PF00657	Lipase_GDSL	"GDSL-like Lipase/Acylhydrolase"	6	0.06	284.14	0.02	2.53	0.00	4.14	0.00	276.42	0.03	1.05	0.00
PF04452	Methyltrans_RNA	"RNA methyltransferase"	4	0.04	178.26	0.01	0.33	0.00	0.27	0.00	177.47	0.02	0.19	0.00
PF00392	GntR	"Bacterial regulatory proteins, gntR family"	34	0.33	1906.62	0.12	32.47	0.03	22.06	0.01	1843.70	0.20	8.38	0.00
PF05618	Zn_protease	"Putative ATP-dependant zinc protease"	9	0.09	149.42	0.01	0.82	0.00	0.59	0.00	145.94	0.02	2.06	0.00
