#accession	id	type	count	count_pct	abundance	abundance_pct	depth_M1	depth_pct_M1	depth_M2	depth_pct_M2	depth_M3	depth_pct_M3	depth_M4	depth_pct_M4	plevel_pct_P1	plevel_pct_P2	plevel_pct_P3	plevel_pct_P4	desc
PF04012.12	PspA_IM30	Family	1	0.02	6421.77	0.02	1524.41	0.02	1932.13	0.02	1074.97	0.02	1890.27	0.02	0.00	0.00	0.00	0	PspA/IM30 family
PF04020.13	Phage_holin_4_2	Family	2	0.05	12763.11	0.05	3018.97	0.05	3916.82	0.05	2050.46	0.04	3776.87	0.05	0	0	0	0	Mycobacterial 4 TMS phage holin, superfamily IV
PF04023.14	FeoA	Domain	1	0.02	6105.55	0.02	1430.68	0.02	1944.03	0.02	906.76	0.02	1824.07	0.02	0	0	0	0	FeoA domain
PF04025.12	DUF370	Family	1	0.02	6504.12	0.02	1547.71	0.02	1974.40	0.02	1101.32	0.02	1880.69	0.02	0	0	0	0	Domain of unknown function (DUF370)
PF04029.14	2-ph_phosp	Family	1	0.02	6417.10	0.02	1515.29	0.02	1934.10	0.02	1086.18	0.02	1881.53	0.02	0	0	0	0	2-phosphosulpholactate phosphatase
PF04039.13	MnhB	Family	1	0.02	6251.14	0.02	1458.98	0.02	1957.54	0.02	923.00	0.02	1911.62	0.02	0	0	0	0	Domain related to MnhB subunit of Na+/H+ antiporter
PF04055.21	Radical_SAM	Domain	18	0.41	114859.91	0.41	27031.06	0.41	35338.55	0.41	18439.92	0.40	34050.36	0.41	0.21	0.21	0.17	0.19	Radical SAM superfamily
PF04079.16	SMC_ScpB	Family	1	0.02	6547.24	0.02	1546.76	0.02	1983.14	0.02	1088.70	0.02	1928.63	0.02	0	0	0	0	Segregation and condensation complex subunit ScpB
PF04085.14	MreC	Family	1	0.02	6335.54	0.02	1484.31	0.02	1933.18	0.02	1041.26	0.02	1876.79	0.02	0	0	0	0	rod shape-determining protein MreC
PF04087.14	DUF389	Family	1	0.02	6343.85	0.02	1498.40	0.02	1918.96	0.02	1037.37	0.02	1889.12	0.02	0	0	0	0	Domain of unknown function (DUF389)
PF04093.12	MreD	Family	1	0.02	6335.54	0.02	1484.31	0.02	1933.18	0.02	1041.26	0.02	1876.79	0.02	0.02	0.02	0.02	0.02	rod shape-determining protein MreD
PF04095.16	NAPRTase	Family	1	0.02	6616.09	0.02	1552.70	0.02	2033.61	0.02	1084.75	0.02	1945.02	0.02	0	0	0	0	Nicotinate phosphoribosyltransferase (NAPRTase) family
PF04101.16	Glyco_tran_28_C	Domain	1	0.02	6521.23	0.02	1547.97	0.02	1985.76	0.02	1070.30	0.02	1917.20	0.02	0	0	0	0	Glycosyltransferase family 28 C-terminal domain
PF04107.13	GCS2	Family	1	0.02	6439.65	0.02	1511.91	0.02	1994.19	0.02	1020.06	0.02	1913.49	0.02	0.01	0.01	0.01	0.00	Glutamate-cysteine ligase family 2(GCS2)
PF04115.12	Ureidogly_lyase	Domain	1	0.02	6602.52	0.02	1551.34	0.02	2042.87	0.02	1053.93	0.02	1954.38	0.02	0	0	0	0	Ureidoglycolate lyase
PF04116.13	FA_hydroxylase	Family	3	0.07	19061.26	0.07	4508.12	0.07	5703.68	0.07	3197.28	0.07	5652.18	0.07	0.02	0.03	0.02	0.02	Fatty acid hydroxylase superfamily
PF04127.15	DFP	Family	1	0.02	6349.50	0.02	1503.75	0.02	1966.54	0.02	999.05	0.02	1880.15	0.02	0.01	0.02	0	0.00	DNA / pantothenate metabolism flavoprotein
PF04134.12	DUF393	Family	1	0.02	6810.41	0.02	1608.79	0.02	1993.98	0.02	1255.71	0.03	1951.94	0.02	0.00	0.01	0.00	0.00	Protein of unknown function, DUF393
PF04138.14	GtrA	Family	2	0.05	13161.95	0.05	3108.93	0.05	3996.04	0.05	2205.02	0.05	3851.95	0.05	0.01	0.01	0.01	0.00	GtrA-like protein
PF04151.15	PPC	Domain	3	0.07	19223.15	0.07	4538.33	0.07	5879.78	0.07	3084.58	0.07	5720.46	0.07	0.02	0.04	0.02	0.02	Bacterial pre-peptidase C-terminal domain
PF04166.12	PdxA	Family	1	0.02	6277.36	0.02	1469.63	0.02	1899.67	0.02	1042.78	0.02	1865.28	0.02	0	0	0	0	Pyridoxal phosphate biosynthetic protein PdxA
PF04168.12	Alpha-E	Family	1	0.02	6439.65	0.02	1511.91	0.02	1994.19	0.02	1020.06	0.02	1913.49	0.02	0	0	0	0	A predicted alpha-helical domain with a conserved ER motif.
PF04174.13	CP_ATPgrasp_1	Family	1	0.02	6439.65	0.02	1511.91	0.02	1994.19	0.02	1020.06	0.02	1913.49	0.02	0	0	0	0	A circularly permuted ATPgrasp
PF04187.13	Cofac_haem_bdg	Domain	1	0.02	6379.79	0.02	1499.08	0.02	1958.78	0.02	1040.21	0.02	1881.72	0.02	0	0	0	0	Haem-binding uptake, Tiki superfamily, ChaN
PF04218.13	CENP-B_N	Domain	1	0.02	6584.83	0.02	1553.23	0.02	2076.31	0.02	1005.31	0.02	1949.99	0.02	0	0	0	0	CENP-B N-terminal DNA-binding domain
PF04226.13	Transgly_assoc	Family	1	0.02	6439.52	0.02	1522.42	0.02	1897.64	0.02	1108.08	0.02	1911.37	0.02	0	0	0	0	Transglycosylase associated protein
PF04230.13	PS_pyruv_trans	Family	3	0.07	19197.32	0.07	4531.13	0.07	5799.54	0.07	3236.00	0.07	5630.66	0.07	0.02	0.02	0.02	0.02	Polysaccharide pyruvyl transferase
PF04240.12	Caroten_synth	Family	1	0.02	6379.79	0.02	1499.08	0.02	1958.78	0.02	1040.21	0.02	1881.72	0.02	0.00	0.00	0	0.00	Carotenoid biosynthesis protein
PF04244.13	DPRP	Family	1	0.02	6720.30	0.02	1583.07	0.02	2109.94	0.02	1013.17	0.02	2014.12	0.02	0	0	0	0	Deoxyribodipyrimidine photo-lyase-related protein
PF04248.12	NTP_transf_9	Domain	1	0.02	6491.86	0.02	1532.70	0.02	1959.32	0.02	1108.61	0.02	1891.23	0.02	0	0	0	0	Domain of unknown function (DUF427)
PF04255.14	DUF433	Domain	8	0.18	54680.90	0.20	13029.85	0.20	16653.77	0.20	9101.65	0.20	15895.63	0.19	0.64	0.68	0.69	0.62	Protein of unknown function (DUF433)
PF04278.12	Tic22	Family	1	0.02	6370.02	0.02	1502.65	0.02	1948.84	0.02	1026.18	0.02	1892.35	0.02	0	0	0	0.00	Tic22-like family
PF04286.12	DUF445	Family	1	0.02	6482.93	0.02	1532.16	0.02	1935.21	0.02	1150.35	0.02	1865.20	0.02	0	0	0	0	Protein of unknown function (DUF445)
PF04290.12	DctQ	Family	1	0.02	6381.14	0.02	1505.11	0.02	1934.35	0.02	1051.18	0.02	1890.51	0.02	0	0	0	0	Tripartite ATP-independent periplasmic transporters, DctQ component
PF04296.13	DUF448	Family	1	0.02	6474.57	0.02	1532.49	0.02	1998.36	0.02	1042.57	0.02	1901.16	0.02	0.01	0.01	0.01	0.01	Protein of unknown function (DUF448)
PF04313.14	HSDR_N	Family	1	0.02	6521.23	0.02	1547.97	0.02	1985.76	0.02	1070.30	0.02	1917.20	0.02	0	0	0.00	0.00	Type I restriction enzyme R protein N terminus (HSDR_N)
PF04324.15	Fer2_BFD	Domain	2	0.05	12809.96	0.05	3014.10	0.05	3964.58	0.05	2048.94	0.04	3782.34	0.05	0	0	0	0	BFD-like [2Fe-2S] binding domain
PF04326.14	AlbA_2	Domain	2	0.05	13013.09	0.05	3080.67	0.05	3945.08	0.05	2178.91	0.05	3808.43	0.05	0.00	0.01	0.00	0.00	Putative DNA-binding domain
PF04343.13	DUF488	Family	2	0.05	12350.80	0.04	2903.82	0.04	3495.78	0.04	2445.52	0.05	3505.66	0.04	0.01	0.01	0.00	0.01	Protein of unknown function, DUF488
PF04357.13	TamB	Family	2	0.05	12351.73	0.04	2920.09	0.04	3679.58	0.04	2117.28	0.05	3634.78	0.04	0	0	0	0	TamB, inner membrane protein subunit of TAM complex
PF04365.13	BrnT_toxin	Family	1	0.02	7174.70	0.03	1679.91	0.03	2196.68	0.03	1198.03	0.03	2100.08	0.03	0.00	0	0.00	0.01	Ribonuclease toxin, BrnT, of type II toxin-antitoxin system
PF04367.13	DUF502	Family	1	0.02	6209.59	0.02	1460.09	0.02	1926.12	0.02	949.72	0.02	1873.66	0.02	0.00	0.00	0.00	0.00	Protein of unknown function (DUF502)
PF04389.17	Peptidase_M28	Family	1	0.02	6433.00	0.02	1512.10	0.02	1951.58	0.02	1077.40	0.02	1891.92	0.02	0.00	0.00	0	0.00	Peptidase family M28
PF04402.14	SIMPL	Family	1	0.02	6816.53	0.02	1618.60	0.02	2101.41	0.02	1105.73	0.02	1990.79	0.02	0.32	0.29	0.26	0.32	Protein of unknown function (DUF541)
PF04408.23	HA2	Domain	1	0.02	11.69	0.00	0	0.00	11.44	0.00	0	0.00	0.25	0.00	0	0	0	0	Helicase associated domain (HA2)
PF04422.13	FrhB_FdhB_N	Family	1	0.02	6028.36	0.02	1401.42	0.02	1875.21	0.02	937.63	0.02	1814.10	0.02	0	0	0	0	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit N-term
PF04432.13	FrhB_FdhB_C	Domain	1	0.02	6028.36	0.02	1401.42	0.02	1875.21	0.02	937.63	0.02	1814.10	0.02	0	0	0	0	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C terminus
PF04434.17	SWIM	Domain	2	0.05	12782.41	0.05	3006.36	0.05	3894.13	0.05	2093.11	0.05	3788.82	0.05	0.05	0.06	0.08	0.03	SWIM zinc finger
PF04452.14	Methyltrans_RNA	Family	1	0.02	6688.88	0.02	1580.85	0.02	2053.26	0.02	1101.21	0.02	1953.55	0.02	0.00	0.00	0	0.00	RNA methyltransferase
PF04455.12	Saccharop_dh_N	Family	1	0.02	6688.88	0.02	1580.85	0.02	2053.26	0.02	1101.21	0.02	1953.55	0.02	0.01	0.02	0.01	0.01	LOR/SDH bifunctional enzyme conserved region
PF04459.12	DUF512	Family	2	0.05	6520.88	0.02	1531.11	0.02	2005.37	0.02	1057.93	0.02	1926.46	0.02	0	0	0	0	Protein of unknown function (DUF512)
PF04465.12	DUF499	Family	1	0.02	6489.20	0.02	1530.35	0.02	2039.25	0.02	993.13	0.02	1926.47	0.02	0	0	0	0	Protein of unknown function (DUF499)
PF04471.12	Mrr_cat	Family	2	0.05	13262.62	0.05	3126.65	0.05	4005.15	0.05	2238.85	0.05	3891.98	0.05	0.02	0.03	0.03	0.03	Restriction endonuclease
PF04472.12	SepF	Family	1	0.02	6528.49	0.02	1535.89	0.02	1999.65	0.02	1072.38	0.02	1920.57	0.02	1.77	2.03	1.64	1.86	Cell division protein SepF
PF04481.12	DUF561	Family	1	0.02	6457.71	0.02	1531.97	0.02	1934.38	0.02	1081.78	0.02	1909.58	0.02	0.01	0.00	0.00	0.00	Protein of unknown function (DUF561)
PF04483.12	DUF565	Family	1	0.02	6709.57	0.02	1582.63	0.02	2022.99	0.02	1139.10	0.02	1964.86	0.02	0	0	0	0	Protein of unknown function (DUF565)
PF04485.12	NblA	Family	1	0.02	6709.57	0.02	1582.63	0.02	2022.99	0.02	1139.10	0.02	1964.86	0.02	0.02	0.03	0.02	0.03	Phycobilisome degradation protein nblA
PF04536.14	TPM_phosphatase	Domain	5	0.11	31011.71	0.11	7352.30	0.11	9507.34	0.11	5013.56	0.11	9138.52	0.11	0.01	0.01	0.01	0.01	TPM domain
PF04539.16	Sigma70_r3	Family	6	0.14	39353.84	0.14	9334.35	0.14	11820.47	0.14	6645.39	0.14	11553.62	0.14	0.02	0.04	0.03	0.03	Sigma-70 region 3
PF04542.14	Sigma70_r2	Domain	7	0.16	46042.72	0.16	10915.20	0.17	13873.73	0.16	7746.60	0.17	13507.17	0.16	0.03	0.04	0.03	0.03	Sigma-70 region 2 
PF04545.16	Sigma70_r4	Domain	7	0.16	46042.72	0.16	10915.20	0.17	13873.73	0.16	7746.60	0.17	13507.17	0.16	0.03	0.04	0.03	0.03	Sigma-70, region 4
PF04548.16	AIG1	Domain	2	0.05	13791.15	0.05	3216.91	0.05	4407.95	0.05	2002.76	0.04	4163.54	0.05	0	0	0	0	AIG1 family
PF04551.14	GcpE	Family	1	0.02	6709.57	0.02	1582.63	0.02	2022.99	0.02	1139.10	0.02	1964.86	0.02	0	0	0	0	GcpE protein
PF04556.12	DpnII	Family	1	0.02	6365.02	0.02	1503.01	0.02	1910.37	0.02	1088.14	0.02	1863.50	0.02	0	0	0	0	DpnII restriction endonuclease
PF04560.20	RNA_pol_Rpb2_7	Domain	1	0.02	6506.78	0.02	1539.12	0.02	1976.83	0.02	1067.43	0.02	1923.40	0.02	0.00	0.01	0.01	0.00	RNA polymerase Rpb2, domain 7
PF04563.15	RNA_pol_Rpb2_1	Family	1	0.02	6506.78	0.02	1539.12	0.02	1976.83	0.02	1067.43	0.02	1923.40	0.02	0.00	0.01	0.01	0.00	RNA polymerase beta subunit
PF04565.16	RNA_pol_Rpb2_3	Domain	1	0.02	6506.78	0.02	1539.12	0.02	1976.83	0.02	1067.43	0.02	1923.40	0.02	0.00	0.01	0.01	0.00	RNA polymerase Rpb2, domain 3
PF04607.17	RelA_SpoT	Family	1	0.02	6491.86	0.02	1532.70	0.02	1959.32	0.02	1108.61	0.02	1891.23	0.02	0	0	0	0	Region found in RelA / SpoT proteins
PF04685.13	DUF608	Domain	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0	0	0	0	Glycosyl-hydrolase family 116, catalytic region
PF04715.13	Anth_synt_I_N	Family	2	0.05	13399.37	0.05	3186.33	0.05	4105.40	0.05	2169.03	0.05	3938.61	0.05	0.02	0.02	0.02	0.01	Anthranilate synthase component I, N terminal region
PF04755.12	PAP_fibrillin	Family	1	0.02	6417.10	0.02	1515.29	0.02	1934.10	0.02	1086.18	0.02	1881.53	0.02	0	0	0	0	PAP_fibrillin
PF04760.15	IF2_N	Domain	1	0.02	6474.57	0.02	1532.49	0.02	1998.36	0.02	1042.57	0.02	1901.16	0.02	0	0	0	0	Translation initiation factor IF-2, N-terminal region
PF04839.13	PSRP-3_Ycf65	Family	1	0.02	6628.93	0.02	1569.83	0.02	2058.29	0.02	1050.75	0.02	1950.07	0.02	0	0	0	0	Plastid and cyanobacterial ribosomal protein (PSRP-3 / Ycf65)
PF04851.15	ResIII	Family	6	0.14	38795.61	0.14	9138.11	0.14	12010.31	0.14	6166.83	0.13	11480.35	0.14	0.03	0.07	0.04	0.01	Type III restriction enzyme, res subunit
PF04879.16	Molybdop_Fe4S4	Domain	1	0.02	6284.50	0.02	1490.15	0.02	1888.18	0.02	1063.09	0.02	1843.09	0.02	0	0	0	0	Molybdopterin oxidoreductase Fe4S4 domain
PF04898.14	Glu_syn_central	Domain	2	0.05	12783.32	0.05	3024.83	0.05	3963.54	0.05	1990.35	0.04	3804.61	0.05	0.00	0	0.01	0.01	Glutamate synthase central domain
PF04909.14	Amidohydro_2	Domain	1	0.02	6381.14	0.02	1505.11	0.02	1934.35	0.02	1051.18	0.02	1890.51	0.02	0	0	0	0	Amidohydrolase
PF04932.15	Wzy_C	Family	3	0.07	18394.70	0.07	4320.35	0.07	5562.38	0.07	3096.19	0.07	5415.76	0.07	0.14	0.13	0.17	0.10	O-Antigen ligase
PF04952.14	AstE_AspA	Domain	2	0.05	12828.30	0.05	3022.06	0.05	4015.59	0.05	1979.12	0.04	3811.54	0.05	0.02	0.01	0.01	0.01	Succinylglutamate desuccinylase / Aspartoacylase family
PF04966.12	OprB	Family	7	0.16	45396.68	0.16	10745.28	0.16	13748.68	0.16	7545.61	0.16	13357.12	0.16	0.00	0.01	0.00	0.00	Carbohydrate-selective porin, OprB family
PF04970.13	LRAT	Domain	2	0.05	13190.36	0.05	3111.46	0.05	4042.81	0.05	2140.78	0.05	3895.29	0.05	0	0	0	0	Lecithin retinol acyltransferase
PF04972.17	BON	Domain	1	0.02	6602.52	0.02	1551.34	0.02	2042.87	0.02	1053.93	0.02	1954.38	0.02	0	0	0	0	BON domain
PF04983.18	RNA_pol_Rpb1_3	Domain	1	0.02	6506.78	0.02	1539.12	0.02	1976.83	0.02	1067.43	0.02	1923.40	0.02	0	0	0	0	RNA polymerase Rpb1, domain 3
PF04997.12	RNA_pol_Rpb1_1	Domain	1	0.02	6506.78	0.02	1539.12	0.02	1976.83	0.02	1067.43	0.02	1923.40	0.02	0	0	0	0	RNA polymerase Rpb1, domain 1
PF04998.17	RNA_pol_Rpb1_5	Domain	1	0.02	6506.78	0.02	1539.12	0.02	1976.83	0.02	1067.43	0.02	1923.40	0.02	0	0	0	0	RNA polymerase Rpb1, domain 5
PF05000.17	RNA_pol_Rpb1_4	Domain	1	0.02	6506.78	0.02	1539.12	0.02	1976.83	0.02	1067.43	0.02	1923.40	0.02	0	0	0	0	RNA polymerase Rpb1, domain 4
PF05016.15	ParE_toxin	Family	4	0.09	25637.26	0.09	6066.26	0.09	7836.17	0.09	4209.24	0.09	7525.60	0.09	0.00	0.00	0	0	#=GF GA   21.90; 21.90;
PF05049.13	IIGP	Family	1	0.02	6643.71	0.02	1560.37	0.02	2067.20	0.02	1055.41	0.02	1960.73	0.02	0	0	0	0	Interferon-inducible GTPase (IIGP)
PF05099.13	TerB	Family	1	0.02	6810.41	0.02	1608.79	0.02	1993.98	0.02	1255.71	0.03	1951.94	0.02	0.01	0.00	0.00	0.00	Tellurite resistance protein TerB
PF05128.12	DUF697	Domain	5	0.11	33112.07	0.12	7758.51	0.12	10350.47	0.12	5102.60	0.11	9900.49	0.12	0.00	0.00	0	0	Domain of unknown function (DUF697)
PF05137.13	PilN	Family	1	0.02	6439.65	0.02	1511.91	0.02	1994.19	0.02	1020.06	0.02	1913.49	0.02	0.01	0.02	0	0.02	Fimbrial assembly protein (PilN)
PF05140.14	ResB	Family	1	0.02	6175.40	0.02	1451.91	0.02	1747.89	0.02	1222.76	0.03	1752.83	0.02	0	0	0	0	ResB-like family
PF05157.15	T2SSE_N	Domain	2	0.05	13170.89	0.05	3108.94	0.05	4104.02	0.05	2057.38	0.04	3900.56	0.05	0.00	0.01	0.01	0.00	Type II secretion system (T2SS), protein E, N-terminal domain
PF05168.14	HEPN	Family	4	0.09	19427.71	0.07	4566.27	0.07	5928.70	0.07	3195.50	0.07	5737.23	0.07	0	0	0	0	HEPN domain
PF05173.14	DapB_C	Domain	1	0.02	6421.77	0.02	1524.41	0.02	1932.13	0.02	1074.97	0.02	1890.27	0.02	0	0	0	0	Dihydrodipicolinate reductase, C-terminus
PF05188.17	MutS_II	Domain	1	0.02	6616.77	0.02	1567.67	0.02	1995.30	0.02	1133.10	0.02	1920.70	0.02	0	0	0	0	MutS domain II
PF05192.18	MutS_III	Domain	1	0.02	6616.77	0.02	1567.67	0.02	1995.30	0.02	1133.10	0.02	1920.70	0.02	0	0	0	0	MutS domain III
PF05193.21	Peptidase_M16_C	Domain	5	0.11	31687.15	0.11	7504.04	0.11	9560.64	0.11	5343.91	0.12	9278.56	0.11	0.00	0.01	0	0.00	Peptidase M16 inactive domain
PF05194.12	UreE_C	Domain	1	0.02	6616.77	0.02	1567.67	0.02	1995.30	0.02	1133.10	0.02	1920.70	0.02	0	0	0	0	UreE urease accessory protein, C-terminal domain
PF05195.16	AMP_N	Domain	2	0.05	13057.37	0.05	3084.94	0.05	3925.67	0.05	2221.06	0.05	3825.70	0.05	0	0	0	0	Aminopeptidase P, N-terminal domain
PF05198.16	IF3_N	Domain	1	0.02	6272.96	0.02	1473.10	0.02	1949.04	0.02	973.35	0.02	1877.47	0.02	0.01	0.02	0.02	0.02	Translation initiation factor IF-3, N-terminal domain
PF05201.15	GlutR_N	Domain	1	0.02	6341.34	0.02	1494.56	0.02	1984.69	0.02	975.49	0.02	1886.60	0.02	0	0	0	0	Glutamyl-tRNAGlu reductase, N-terminal domain
PF05219.12	DREV	Family	1	0.02	6417.10	0.02	1515.29	0.02	1934.10	0.02	1086.18	0.02	1881.53	0.02	0	0	0	0	DREV methyltransferase
PF05221.17	AdoHcyase	Domain	1	0.02	6742.25	0.02	1604.07	0.02	1921.11	0.02	1283.15	0.03	1933.93	0.02	0	0	0	0	S-adenosyl-L-homocysteine hydrolase
PF05222.15	AlaDh_PNT_N	Domain	2	0.05	13024.03	0.05	3070.61	0.05	3993.64	0.05	2079.30	0.05	3880.47	0.05	0.01	0.01	0.01	0.01	Alanine dehydrogenase/PNT, N-terminal domain
PF05226.11	CHASE2	Domain	12	0.28	77978.35	0.28	18374.30	0.28	23956.53	0.28	12653.15	0.27	22994.38	0.28	0.13	0.18	0.13	0.14	CHASE2 domain
PF05227.13	CHASE3	Domain	2	0.05	13184.14	0.05	3115.12	0.05	4021.35	0.05	2181.67	0.05	3866.02	0.05	0.00	0.00	0.00	0.01	CHASE3 domain
PF05228.13	CHASE4	Domain	3	0.07	13544.42	0.05	3186.93	0.05	4219.35	0.05	2153.64	0.05	3984.50	0.05	0	0	0	0	CHASE4 domain
PF05231.14	MASE1	Domain	4	0.09	26196.19	0.09	6191.99	0.09	7938.80	0.09	4400.22	0.10	7665.18	0.09	0.03	0.03	0.02	0.02	MASE1
PF05235.14	CHAD	Domain	1	0.02	6506.78	0.02	1539.12	0.02	1976.83	0.02	1067.43	0.02	1923.40	0.02	0	0	0	0	CHAD domain
PF05239.16	PRC	Domain	2	0.05	12644.45	0.05	2954.12	0.04	3908.82	0.05	2022.38	0.04	3759.12	0.05	0.07	0.09	0.08	0.06	PRC-barrel domain
PF05257.16	CHAP	Domain	1	0.02	6275.43	0.02	1459.49	0.02	2019.00	0.02	888.72	0.02	1908.22	0.02	0	0	0	0	CHAP domain
PF05258.12	DciA	Family	1	0.02	6421.77	0.02	1524.41	0.02	1932.13	0.02	1074.97	0.02	1890.27	0.02	0	0	0	0	Dna[CI] antecedent, DciA
PF05299.12	Peptidase_M61	Family	1	0.02	6203.33	0.02	1458.46	0.02	1873.99	0.02	1053.97	0.02	1816.91	0.02	0.00	0.00	0.00	0	M61 glycyl aminopeptidase
PF05378.13	Hydant_A_N	Family	1	0.02	6468.14	0.02	1521.00	0.02	1981.51	0.02	1053.82	0.02	1911.80	0.02	0.01	0.02	0.01	0.01	Hydantoinase/oxoprolinase N-terminal region
PF05419.12	GUN4	Domain	8	0.18	54107.56	0.19	12907.98	0.20	16718.03	0.20	8807.32	0.19	15674.22	0.19	0.01	0.02	0.01	0.02	GUN4-like 
PF05421.11	DUF751	Family	1	0.02	6240.60	0.02	1480.59	0.02	1871.69	0.02	1038.02	0.02	1850.30	0.02	0	0	0	0	Protein of unknown function (DUF751)
PF05426.12	Alginate_lyase	Domain	1	0.02	6564.04	0.02	1565.29	0.02	1986.41	0.02	1090.71	0.02	1921.63	0.02	0	0	0	0	Alginate lyase
PF05430.11	Methyltransf_30	Family	1	0.02	6564.67	0.02	1556.45	0.02	2095.27	0.02	976.55	0.02	1936.39	0.02	0.00	0.00	0.00	0.00	S-adenosyl-L-methionine-dependent methyltransferase
PF05491.13	RuvB_C	Domain	1	0.02	6742.25	0.02	1604.07	0.02	1921.11	0.02	1283.15	0.03	1933.93	0.02	0.02	0.02	0.01	0.02	RuvB C-terminal winged helix domain
PF05532.12	CsbD	Domain	4	0.09	25828.18	0.09	6109.82	0.09	7792.00	0.09	4301.30	0.09	7625.06	0.09	0.00	0.00	0.00	0.00	CsbD-like
PF05542.11	DUF760	Family	2	0.05	13357.65	0.05	3155.55	0.05	3977.12	0.05	2344.41	0.05	3880.57	0.05	0	0	0	0	Protein of unknown function (DUF760)
PF05552.12	TM_helix	Family	1	0.02	6688.88	0.02	1580.85	0.02	2053.26	0.02	1101.21	0.02	1953.55	0.02	0.02	0.02	0.01	0.02	Conserved TM helix
PF05597.11	Phasin	Family	1	0.02	6325.50	0.02	1503.80	0.02	1871.55	0.02	1099.39	0.02	1850.76	0.02	0	0	0	0	Poly(hydroxyalcanoate) granule associated protein (phasin)
PF05598.11	DUF772	Domain	2	0.05	44128.90	0.16	10315.44	0.16	14383.79	0.17	5830.14	0.13	13599.43	0.17	0	0	0	0	Transposase domain (DUF772)
PF05618.11	Zn_protease	Family	1	0.02	6339.10	0.02	1491.71	0.02	1976.34	0.02	985.99	0.02	1885.07	0.02	0	0	0	0	Putative ATP-dependant zinc protease
PF05626.11	DUF790	Family	1	0.02	6465.79	0.02	1533.83	0.02	1940.47	0.02	1079.51	0.02	1911.98	0.02	0	0	0	0	Protein of unknown function (DUF790)
PF05635.11	23S_rRNA_IVP	Family	2	0.05	13232.12	0.05	3120.50	0.05	4026.24	0.05	2229.03	0.05	3856.35	0.05	0.00	0.00	0.00	0.00	23S rRNA-intervening sequence protein
PF05670.13	NFACT-R_1	Domain	1	0.02	6504.12	0.02	1547.71	0.02	1974.40	0.02	1101.32	0.02	1880.69	0.02	0	0	0	0	NFACT protein RNA binding domain
PF05685.12	Uma2	Family	79	1.82	520582.28	1.86	123043.21	1.86	159603.34	1.87	84719.13	1.84	153216.49	1.86	0.37	0.59	0.33	0.41	Putative restriction endonuclease
PF05690.14	ThiG	Domain	1	0.02	6439.65	0.02	1511.91	0.02	1994.19	0.02	1020.06	0.02	1913.49	0.02	0	0	0	0	Thiazole biosynthesis protein ThiG
PF05697.13	Trigger_N	Family	1	0.02	6998.30	0.02	1655.34	0.03	2103.77	0.02	1209.87	0.03	2029.32	0.02	0	0	0	0	Bacterial trigger factor protein (TF)
PF05698.14	Trigger_C	Family	1	0.02	6998.30	0.02	1655.34	0.03	2103.77	0.02	1209.87	0.03	2029.32	0.02	0	0	0	0	Bacterial trigger factor protein (TF) C-terminus
PF05717.13	TnpB_IS66	Family	1	0.02	1103.18	0.00	204.86	0.00	474.32	0.01	72.28	0.00	351.72	0.00	0	0	0	0	IS66 Orf2 like protein
PF05721.13	PhyH	Domain	1	0.02	6553.05	0.02	1544.02	0.02	1982.16	0.02	1099.75	0.02	1927.12	0.02	0	0	0	0	Phytanoyl-CoA dioxygenase (PhyH)
PF05728.12	UPF0227	Domain	1	0.02	6541.96	0.02	1539.11	0.02	2045.73	0.02	1006.63	0.02	1950.49	0.02	0	0	0	0	Uncharacterised protein family (UPF0227)
PF05729.12	NACHT	Domain	5	0.11	32975.81	0.12	7844.59	0.12	10140.35	0.12	5262.79	0.11	9728.08	0.12	0.02	0.02	0.02	0.02	NACHT domain
PF05746.15	DALR_1	Domain	3	0.07	19236.13	0.07	4527.16	0.07	5854.97	0.07	3189.10	0.07	5664.90	0.07	0.00	0.00	0.00	0.00	DALR anticodon binding domain
PF05762.14	VWA_CoxE	Family	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0.03	0.04	0.02	0.02	VWA domain containing CoxE-like protein
PF05768.14	DUF836	Domain	1	0.02	6688.88	0.02	1580.85	0.02	2053.26	0.02	1101.21	0.02	1953.55	0.02	0	0	0	0	Glutaredoxin-like domain (DUF836)
PF05787.13	DUF839	Family	1	0.02	6642.20	0.02	1562.36	0.02	2082.86	0.02	1046.06	0.02	1950.93	0.02	0	0	0	0	Bacterial protein of unknown function (DUF839)
PF05830.11	NodZ	Family	1	0.02	6468.14	0.02	1521.00	0.02	1981.51	0.02	1053.82	0.02	1911.80	0.02	0	0	0	0	Nodulation protein Z (NodZ)
PF05833.11	FbpA	Family	1	0.02	6504.12	0.02	1547.71	0.02	1974.40	0.02	1101.32	0.02	1880.69	0.02	0	0	0	0	Fibronectin-binding protein A N-terminus (FbpA)
PF05860.13	Haemagg_act	Domain	9	0.21	57309.15	0.20	13480.56	0.20	17634.49	0.21	9268.58	0.20	16925.56	0.21	0.02	0.01	0.01	0.01	haemagglutination activity domain
